Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Region,Carbon Performance Regional Alignment 2025,Carbon Performance Regional Alignment 2027,Carbon Performance Regional Alignment 2028,Carbon Performance Regional Alignment 2035,Carbon Performance Regional Alignment 2050,Regional Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/11/2021,05/08/2021,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,0.841305441,0.83919691,0.741389841,0.623133379,0.56,0.550486276,0.540972553,0.531458829,0.521945106,0.512431382,0.502917659,0.493403935,0.483890211,0.474376488,0.464862764,0.441619626,0.418376488,0.39513335,0.371890211,0.348647073,0.325403935,0.302160797,0.278917659,0.25567452,0.232431382,0.209188244,0.185945106,0.162701967,0.139458829,0.116215691,0.092972553,0.069729415,0.046486276,0.023243138,0.0
Ameren,United States of America,USA,Electricity Utilities,Yes,medium,US0236081024,2050832,01/10/2024,09/06/2024,North-America,,Not Aligned,,Not Aligned,Below 2 Degrees,North-America_Electricity Utilities_01/05/2024,2030;2040;2045,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.6489,0.6639,0.668,0.689,0.729,0.686,0.663,0.704,0.755,0.654,0.617,0.580285714,0.543571429,0.506857143,0.470142857,0.433428571,0.396714286,0.36,0.331,0.302,0.273,0.244,0.215,0.186,0.157,0.128,0.099,0.07,0.056,0.042,0.028,0.014,0.0,,,,,
Ameren,United States of America,USA,Electricity Utilities,Yes,medium,US0236081024,2050832,01/11/2023,04/07/2023,North-America,Not Aligned,,,Not Aligned,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2030;2040;2045,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.6489,0.6639,0.668,0.689,0.729,0.686,0.663,0.704,0.755,0.654,0.62185128,0.58970256,0.557553841,0.525405121,0.493256401,0.461107681,0.428958961,0.396810241,0.371296969,0.345783697,0.320270425,0.294757153,0.269243881,0.243730609,0.218217337,0.192704065,0.167190793,0.141677521,0.113342017,0.085006513,0.056671008,0.028335504,0.0,,,,,
Ameren,United States of America,USA,Electricity Utilities,Yes,medium,US0236081024,2050832,01/09/2022,22/07/2022,North-America,Not Aligned,,,Not Aligned,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2030;2040;2045,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.66,0.67,0.69,0.73,0.69,0.66,0.7,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.38,0.35,0.33,0.3,0.27,0.25,0.22,0.2,0.17,0.14,0.12,0.09,0.06,0.03,0.0,,,,,
Ameren,United States of America,USA,Electricity Utilities,Yes,medium,US0236081024,2050832,01/11/2021,05/08/2021,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2040;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.6489,0.6639,0.668,0.689,0.729,0.686,0.663,0.649151835,0.635303669,0.621455504,0.607607339,0.593759173,0.579911008,0.566062843,0.552214678,0.538366512,0.524518347,0.510670182,0.474189578,0.437708975,0.401228372,0.364747769,0.328267165,0.291786562,0.255305959,0.218825356,0.182344752,0.145864149,0.131277734,0.116691319,0.102104904,0.08751849,0.072932075,0.05834566,0.043759245,0.02917283,0.014586415,0.0
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/10/2024,09/06/2024,North-America,,Not Aligned,,Not Aligned,Below 2 Degrees,North-America_Electricity Utilities_01/05/2024,2030;2045,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.813070815,0.767435116,0.72816412,0.823146927,0.734066177,0.72426377,0.753682264,0.649262472,0.624390474,0.576918876,0.563681888,0.534370438,0.505058988,0.475747539,0.446436089,0.417124639,0.38781319,0.35850174,0.334601624,0.310701508,0.286801392,0.262901276,0.23900116,0.215101044,0.191200928,0.167300812,0.143400696,0.11950058,0.095600464,0.071700348,0.047800232,0.023900116,0.0,,,,,
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/11/2023,04/07/2023,North-America,Not Aligned,,,Not Aligned,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2030;2045,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.813070815,0.767435116,0.72816412,0.823146927,0.734066177,0.72426377,0.753682264,0.649262472,0.68309412,0.649510191,0.613635569,0.577760947,0.541886325,0.506011703,0.470137081,0.434262459,0.398387837,0.362513215,0.338345667,0.314178119,0.290010572,0.265843024,0.241675476,0.217507929,0.193340381,0.169172833,0.145005286,0.120837738,0.096670191,0.072502643,0.048335095,0.024167548,0.0,,,,,
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/09/2022,22/07/2022,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.77,0.73,0.82,0.73,0.72,0.69,0.64,0.62,0.6,0.58,0.56,0.53,0.51,0.49,0.47,0.45,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.25,0.23,0.21,0.19,0.17,0.15,0.13,0.11,0.08,0.06,0.04,0.02,0.0
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/11/2021,05/08/2021,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.813070815,0.767435116,0.72816412,0.823146927,0.734066177,0.72426377,0.689130605,0.644407332,0.622438669,0.600470006,0.578501344,0.556532681,0.534564018,0.512595356,0.490626693,0.46865803,0.446689367,0.424720705,0.403484669,0.382248634,0.361012599,0.339776564,0.318540529,0.297304493,0.276068458,0.254832423,0.233596388,0.212360352,0.191124317,0.169888282,0.148652247,0.127416211,0.106180176,0.084944141,0.063708106,0.04247207,0.021236035,0.0
Berkshire Hathaway (Electricity Utility),United States of America,USA,Electricity Utilities,Yes,large,US0846701086;US0846707026,2093666;2073390,01/09/2024,06/08/2024,North-America,,Not Aligned,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/05/2024,,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment because they were inconsistent with TPI’s methodology.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.58,0.57,0.54,0.48,0.47,0.43,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway (Electricity Utility),United States of America,USA,Electricity Utilities,Yes,large,US0846701086;US0846707026,2093666;2073390,01/11/2023,04/07/2023,North-America,Not Aligned,,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment because they were inconsistent with TPI’s methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.58,0.572,0.54,0.477,0.474,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway (Electricity Utility),United States of America,USA,Electricity Utilities,Yes,large,US0846701086;US0846707026,2093666;2073390,01/09/2022,22/07/2022,North-America,Not Aligned,,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment because they were inconsistent with TPI's methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.58,0.57,0.54,0.48,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway (Electricity Utility),United States of America,USA,Electricity Utilities,Yes,large,US0846701086;US0846707026,2093666;2073390,01/11/2021,05/08/2021,North-America,Not Aligned,,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,"",2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. Please note that this company operates in more than one sector assessed by TPI: we conduct a sector-specific assessment for each of the sectors in which a company operates. In this assessment, we evaluate only the emissions and production data from electricity generation and compare the company's electricity-specific pathway to TPI's electricity-specific benchmarks. Other activities undertaken by this company are assessed separately, considering only the emissions and production data from those separate activities. Targets adopted by the company that are specific to a particular activity are incorporated into TPI's appropriate sector-specific assessment. We take a case-by-case approach to the interpretation of company-wide targets to evaluate whether targets can reasonably be assumed to apply in proportion to the emissions of the activity under consideration. Investors may want to consider all sector-specific assessments of a given company to understand its overall Carbon Performance. Note that TPI does not necessarily assess every business segment of a given company.",,,,,0.58,0.572,0.54,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/09/2024,06/08/2024,North-America,,Not Aligned,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/05/2024,,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. The company has set targets for 2030 and 2040 but they cannot be accepted since emissions from purchased electricity (which is significant for Black Hills Corp) are included. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.89,0.85,0.81,0.75,0.7,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/11/2023,04/07/2023,North-America,Not Aligned,,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. The company has set target for 2030 and 2040 but they cannot be accepted since emissions from purchased electricity (which is significant for Black Hills Corp) is included. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.89,0.85,0.81,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/09/2022,22/07/2022,North-America,Not Aligned,,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. The company has set target for 2030 and 2040 but they cannot be accepted since emissions from purchased electricity (which is significant for Black Hills Corp) is included. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.89,0.85,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/11/2021,05/08/2021,North-America,Not Aligned,,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,2030;2040,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,,,0.87,0.85,0.841454545,0.832909091,0.824363636,0.815818182,0.807272727,0.798727273,0.790181818,0.781636364,0.773090909,0.764545455,0.756,0.7182,0.6804,0.6426,0.6048,0.567,0.5292,0.4914,0.4536,0.4158,0.378,,,,,,,,,,
CEMIG,Brazil,BRA,Electricity Utilities,No,small,US2044096012,2178938,01/09/2024,06/08/2024,non-OECD,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,non-OECD_Electricity Utilities_01/05/2024,2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/10/2024,09/06/2024,Europe,,Not Aligned,,Below 2 Degrees,Below 2 Degrees,Europe_Electricity Utilities_01/05/2024,2025;2030;2033;2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI notes that this company’s emissions intensity is slightly over-estimated as we calculated it using emissions from both electricity and heat generation, while using generation figures that include only electricity. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.445834929,0.470771436,0.496665391,0.443119202,0.424885593,0.403363029,0.368502937,0.3339138,0.328746068,0.305830712,0.282915356,0.26,0.24,0.22,0.2,0.18,0.16,0.127066667,0.094133333,0.0612,0.052457143,0.043714286,0.034971429,0.026228571,0.017485714,0.008742857,0.0,,,,,,,,,,
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/11/2023,04/07/2023,Europe,Not Aligned,,,National Pledges,Below 2 Degrees,Europe_Electricity Utilities_01/04/2022,2025;2030;2040,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI notes that this company’s emissions intensity is slightly over-estimated as we calculated it using emissions from both electricity and heat generation, while using generation figures that include only electricity.   When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.445834929,0.470771436,0.496665391,0.443119202,0.424885593,0.403363029,0.368502937,0.334033078,0.315524808,0.297016539,0.278508269,0.26,0.24,0.22,0.2,0.18,0.16,0.144,0.128,0.112,0.096,0.08,0.064,0.048,0.032,0.016,0.0,,,,,,,,,,
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/09/2022,22/07/2022,Europe,Not Aligned,,,Not Aligned,National Pledges,Europe_Electricity Utilities_01/04/2022,2025;2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and emissions figure that is inconsistent with TPI's methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI notes that this company's emissions intensity is slightly over-estimated as we calculated it using emissions from both electricity and heat generation, while using generation figures that include only electricity. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.45,0.47,0.5,0.44,0.42,0.4,0.37,0.33,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.15,0.14,0.14,0.13,0.12,0.11,0.1,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0.0
