Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2028,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Years with targets,Previous Carbon Performance Alignment 2025,Previous Carbon Performance Alignment 2027,Previous Carbon Performance Alignment 2028,Previous Carbon Performance Alignment 2035,Previous Carbon Performance Alignment 2050,Previous Years with targets,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
ADVANCED INFO SERVICE,Thailand,THA,Telecommunications,No,large,TH0268010Z03,6412568,01/12/2024,02/01/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AECC Aviation Power,China,CHN,Industrials,No,large,CNE000000JW1,6479024,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/12/2024,18/04/2024,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Electricity Utilities_01/10/2024,,Below 2 Degrees,,Below 2 Degrees,1.5 Degrees,2030;2040,National Pledges,,,Below 2 Degrees,1.5 Degrees,2030;2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.654,0.777,0.697,0.681,0.66,0.6,0.61,0.57,0.56,0.51,0.46659375,0.4231875,0.37978125,0.336375,0.29296875,0.2495625,0.20615625,0.16275,0.146475,0.1302,0.113925,0.09765,0.081375,0.0651,0.048825,0.03255,0.016275,0.0,,,,,,,,,,,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
AGC,Japan,JPN,Industrials,No,large,JP3112000009,6055208,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCO Corp,United States of America,USA,Industrials,No,small,US0010841023,2010278,01/12/2024,19/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,01/10/2024,09/06/2024,Electricity Utilities_01/10/2024,,Not Aligned,,1.5 Degrees,1.5 Degrees,2034;2035,Not Aligned,,,1.5 Degrees,1.5 Degrees,2023;2034;2035,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.97,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.938,0.917,0.873818959,0.830637918,0.787456876,0.744275835,0.701094794,0.657913753,0.614732712,0.571551671,0.528370629,0.485189588,0.442008547,0.398827506,0.0,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate the company’s targeted absolute emissions reduction on an intensity basis, TPI assumes that the company’s electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
AIA Group,Hong Kong,HKG,Financials,No,large,HK0000069689,B4TX8S1,01/12/2024,19/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKR Corporindo Tbk,Indonesia,IDN,Oil & Gas Distribution,No,small,ID1000106701,#N/A,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2024,05/01/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2030;2050,1.5 Degrees,,,International Pledges,Not Aligned,2030,2022,Carbon intensity (gCO2 / RTK),,897.4714008,907.8960023,869.6779069,841.148028,838.4035049,870.9869341,1039.790902,944.1208271,850.8722262,796.8605778,742.8489293,688.8372809,634.8256325,580.813984,526.8023356,472.7906872,418.7790387,397.8400868,376.9011349,355.9621829,335.023231,314.084279,293.1453271,272.2063752,251.2674232,230.3284713,209.3895194,188.4505674,167.5116155,146.5726636,125.6337116,104.6947597,83.75580775,62.81685581,41.87790387,20.93895194,0.0,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's targets aim to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's passenger activity grows according to the passenger aviation activity growth rate projected in the IEA's 2020 Energy Technology Perspective (ETP) and that its freight activity grows according to ICAO post-COIVD projections. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
ANTAM,Indonesia,IDN,Diversified Mining,Yes,small,ID1000106602,6053859,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,01/10/2024,09/06/2024,Diversified Mining_01/10/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. TPI was unable to calculate a carbon intensity according to its methodology, as the company does not disclose Scope 1 and 2 emissions of its coal business. We are therefore unable to derive an emissions intensity that is representative of the whole company’s business activity.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
ANZ Group Holdings,Australia,AUS,Financials,No,large,AU000000ANZ3,6065586,01/12/2024,23/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/12/2024,05/03/2024,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Shipping_01/10/2024,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2030;2040,1.5 Degrees,,,1.5 Degrees,1.5 Degrees,2030;2045,2022,Carbon intensity (gCO2 / t-km),,,,7.665647859,7.049723553,7.202434361,7.056722462,6.587473002,6.982721382,7.019438445,6.553725702,6.088012959,5.622300216,5.156587473,4.69087473,4.225161987,3.759449244,3.293736501,2.964362851,2.634989201,2.305615551,1.976241901,1.646868251,1.3174946,0.98812095,0.6587473,0.32937365,0.0,,,,,,,,,,,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
APA  Group,Australia,AUS,Oil & Gas Distribution,No,large,AU000000APA1,6247306,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/12/2024,28/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,01/09/2024,06/08/2024,Oil & Gas_01/11/2023,,Not Aligned,,Not Aligned,Not Aligned,,Not Aligned,,,Not Aligned,Not Aligned,,2023,Emissions intensity (gCO2e / MJ),,69.81,73.12,73.78,74.22,74.68,73.2,73.17,73.3,72.23,65.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
APL Apollo Tubes,India,IND,Steel,No,medium,INE702C01027,BNDTGN9,01/12/2024,05/02/2024,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APi Group,United States of America,USA,Industrials,No,small,US00187Y1001,BMBPH06,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE Group,Taiwan,TWN,Technology,No,large,TW0003711008,BFXZDY1,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML Holding,Netherlands,NLD,Technology,No,large,USN070592100,#N/A,01/12/2024,05/01/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT&T,United States of America,USA,Telecommunications,No,large,US00206R1023,2831811,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI,United States of America,USA,Industrials,No,small,US01741R1023,2526117,01/12/2024,25/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU Optronics,Taiwan,TWN,Technology,No,medium,TW0002409000,6288190,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVIC SHENYANG AIRCRAFT,China,CHN,Industrials,No,large,CNE000000MH6,6800709,01/12/2024,29/12/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXA,France,FRA,Financials,No,large,FR0000120628,7088429,01/12/2024,28/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalberts  NV,Netherlands,NLD,Industrials,No,medium,NL0000852564,B1W8P14,01/12/2024,10/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,United States of America,USA,Health Care,No,large,US00287Y1091,B92SR70,01/12/2024,05/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbott Laboratories,United States of America,USA,Health Care,No,large,US0028241000,2002305,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboitiz Power,Philippines,PHL,Electricity Utilities,No,medium,PHY0005M1090,B1Z9Q99,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absa Group,South Africa,ZAF,Financials,No,large,ZAE000255915,BFX05H3,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia Healthcare,United States of America,USA,Health Care,No,small,US00404A1097,B65VZ37,01/12/2024,30/04/2024,1,new,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accenture,United States of America,USA,Industrials,No,large,IE00B4BNMY34,B4BNMY3,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accor,France,FRA,Consumer Services,No,medium,FR0000120404,5852842,01/12/2024,30/04/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/12/2024,25/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,Yes,01/08/2024,16/07/2024,Steel_01/04/2022,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2030;2050,1.5 Degrees,,,1.5 Degrees,1.5 Degrees,2030;2050,2022,Carbon intensity (tonnes of CO2 per tonne of steel),,,,0.924755152,0.930740131,0.989485468,1.232366124,1.225537406,1.117391722,1.153173125,1.07959003,1.057934311,1.036278593,1.014622874,0.992967156,0.971311437,0.949655719,0.928,0.8816,0.8352,0.7888,0.7424,0.696,0.6496,0.6032,0.5568,0.5104,0.464,0.4176,0.3712,0.3248,0.2784,0.232,0.1856,0.1392,0.0928,0.0464,0.0,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Activision Blizzard,United States of America,USA,Consumer Goods,No,large,US00507V1098,2575818,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Energy Solutions,India,IND,Electricity Utilities,No,large,INE931S01010,BYPCLL6,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Enterprises,India,IND,Coal Mining,No,medium,INE423A01024,B01VRK0,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Ports and Special Economic Zone,India,IND,Industrials,No,large,INE742F01042,B28XXH2,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Power,India,IND,Electricity Utilities,No,large,INE814H01011,B3WQH49,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
